planta,exposicao,rega,ambiente,poda,adubo
Alecrim,Sol pleno (6-8h/dia),"1-2 vezes por semana, solo bem drenado",Externo,Regular para estimular o crescimento,"Solo arenoso e seco, adubo orgânico"
Aloes Aristata,Meia-sombra ou sol pleno,"Pouca água, regar a cada 15 dias",Interno ou externo,Remover folhas secas,Substrato para cactos e suculentas
Amaryllis,Luz indireta ou sol pleno,"Moderada, manter o solo úmido",Interno,"Após a ﬂoração, cortar folhas secas",Substrato leve com boa drenagem
Antúrios Mini Vermelhos,Luz indireta,"Manter o solo úmido, sem encharcar",Interno,Remover folhas secas,Solo rico em matéria orgânica
Antúrios Variados,Luz indireta,"Moderada, manter o solo úmido",Interno,Remover folhas secas,Solo orgânico e leve
Aphelandras,Meia-sombra,2-3 vezes por semana,Interno,Após a ﬂoração,Solo bem drenado
Arrudas,Sol pleno,"1-2 vezes por semana, solo seco entre regas",Externo,Regular para manter forma,
Asplênios Osaka Variados,"Luz indireta, sombra parcial","2-3 vezes por semana, solo úmido",Interno,Remover folhas secas,"Solo rico em matéria orgânica, adubo mensal"
Avencas Variadas,"Luz indireta, sombra total",Mantém o solo constantemente úmido,Interno,Remover folhas secas para promover crescimento,Substrato rico e com boa drenagem
Azaléias,Sol pleno ou meia-sombra,"2-3 vezes por semana, solo úmido",Externo,Após a ﬂoração para manter a forma,"Solo ácido, bem drenado"
Bambus da Sorte,Luz indireta ou sombra,"Manter a base em água, trocando semanalmente",Interno,Cortar as hastes para controlar o tamanho,Pode ser cultivado na água ou solo com adubo líquido mensal
Begônias Beleaf,Luz indireta,"Moderada, manter solo úmido",Interno,Remover folhas secas,Solo bem drenado e rico em nutrientes
Begônias Flores Variadas,Luz indireta ou meia-sombra,"Manter o solo úmido, sem encharcar",Interno ou externo,"Após a ﬂoração, remover ﬂores murchas",Solo rico e leve
Bonsais Diversos,Luz direta ou meia-sombra,"Moderada, solo levemente úmido",Interno ou externo,Manter a forma desejada com podas frequentes,"Solo bem drenado, adubação orgânica mensal"
Bonsais de Fruta,Sol pleno ou meia-sombra,Solo constantemente úmido,Externo,"Regular, para controle de forma",Solo fértil e adubação mensal
Bromélias Aechmea Fasciata,Meia-sombra ou sol pleno,"Manter água no centro da planta, regar com moderação o solo",Interno ou externo,Remover folhas secas,Substrato rico e leve
Bromélias Guzmanias,Meia-sombra,"Manter água na base, sem encharcar o solo",Interno ou externo,Remover folhas secas e ﬂores murchas,Solo bem drenado
Bulbos Amaryllis,Sol pleno ou luz indireta,"Moderada, solo ligeiramente úmido",Interno,Remover folhas secas após ﬂoração,Solo bem drenado
Buxinhos,Sol pleno ou meia-sombra,"Moderada, solo ligeiramente úmido",Externo,Podar regularmente para manter a forma,Solo rico em matéria orgânica
Cactos,Sol pleno ou meia-sombra,Regar uma vez por mês,Interno ou externo,Não necessário,Substrato para cactos
Cactos Raiz Própria,Sol pleno,"Escassa, regar a cada 20 dias",Interno ou externo,Não necessário,Substrato para cactos
Callas Coloridas,Luz indireta ou meia-sombra,Manter o solo úmido,Interno,Remover folhas secas após ﬂoração,Solo rico em nutrientes
Celósias Coloridas,Sol pleno,"Moderada, solo ligeiramente úmido",Externo ou interno,Remover ﬂores murchas,Solo bem drenado
Chifres de Veado,"Luz indireta, meia-sombra","1-2 vezes por semana, solo levemente úmido",Interno,Remover folhas secas,"Substrato para epíﬁtas, como ﬁbra de coco ou musgo esfagno"
Costelas de Adão,"Luz indireta, meia-sombra","1 vez por semana, solo úmido",Interno,Remover folhas secas e galhos extras,Solo fértil e bem drenado
Crotons,Sol pleno ou meia-sombra,Solo ligeiramente úmido,Interno ou externo,Regular para controlar o tamanho,Solo bem drenado com adubo orgânico
Dianthus Dobrados,Sol pleno,"Moderada, solo levemente úmido",Externo,Remover ﬂores murchas para estimular nova ﬂoração,"Solo bem drenado, adubação quinzenal"
Dinheiro em Penca Pendentes,Luz indireta ou meia-sombra,"2 vezes por semana, solo ligeiramente seco entre regas",Interno ou externo,Podar para controlar o crescimento,Solo bem drenado
Dipladênias,Sol pleno ou meia-sombra,"Moderada, solo úmido",Externo,"Após a ﬂoração, poda de formação",Solo rico e bem drenado
Dracenas Variadas,Luz indireta ou meia-sombra,"1 vez por semana, solo seco entre regas",Interno,Remover folhas secas,Solo rico em matéria orgânica
